SiteId,Site_Name,Site_Brand,Site_Suburb,Lat,Lon
61401744,Ampol Foodary Sumner Park,Ampol,Sumner,-27.560218,152.935915
61401745,BP Lawnton,BP,Lawnton,-27.281521,152.982985
61401748,Ampol Foodary Hyperdome,Ampol,Shailer Park,-27.659557,153.169084
61401749,BP Bowen Hills,BP,Bowen Hills,-27.435733,153.041458
61401750,7-Eleven Nerang,7 Eleven,Nerang,-27.993151,153.333127
61401752,Ampol Foodary Robina,Ampol,Robina,-28.056769,153.394381
61401753,Shell Reddy Express Goodna,Reddy Express,Goodna,-27.600565,152.883916
61401754,Ampol Foodary Wishart,Ampol,Wishart,-27.548392,153.108079
61401755,Ampol Foodary Waterford West,Ampol,Waterford West,-27.681343,153.114634
61401756,Ampol Foodary Brassall,Ampol,Brassall,-27.596341,152.745793
61401758,Ampol Foodary Kingston,Ampol,Kingston,-27.633616,153.119251
61401759,BP Manly West,BP,Manly West,-27.467413,153.153895
61401760,BP Ashmore,BP,Ashmore,-27.986347,153.363151
61401761,Coles Express Birkdale,Coles Express,Birkdale,-27.493126,153.216292
61401762,Ampol Foodary Southport,Ampol,Southport,-27.962275,153.395566
61401763,Metro Eagleby,Metro Fuel,Eagleby,-27.721732,153.216985
61401764,BP Highland Park,BP,Nerang,-28.013209,153.335896
61401765,BP Connect Mt Warren Park,BP,Mount Warren Park,-27.722827,153.194962
61401766,BP Wacol Truck Stop,BP,Wacol,-27.593572,152.934634
61401767,Shell Reddy Express Elanora,Reddy Express,Elanora,-28.136602,153.467564
61401767,Coles Express Elanora,Coles Express,Elanora,-28.136674,153.467551
61401768,Ampol Foodary Churchill,Ampol,Churchill,-27.633511,152.756545
61401769,Coles Express Albany Creek,Coles Express,Albany Creek,-27.346018,152.964529
61401770,NightOwl Shell Wakerley,Shell,Wakerley,-27.493009,153.169057
61401772,Ampol Foodary Slacks Creek,Ampol,Slacks Creek,-27.640531,153.131401
61401773,United Loganlea,United,Loganlea,-27.666991,153.139183
61401774,Pearl Energy Rocklea,Pearl Energy,Rocklea,-27.557455,153.015412
61401775,Ampol Foodary Bellbowrie,Ampol,Bellbowrie,-27.562696,152.887045
61401777,Liberty Karawatha,Liberty,Karawatha,-27.617602,153.093907
61401778,Ampol Foodary Camira,Ampol,Camira,-27.634924,152.916427
61401779,Coles Express Cleveland,Coles Express,Cleveland,-27.534892,153.266824
61401780,Coles Express Deception Bay,Coles Express,Deception Bay,-27.190165,153.018451
61401781,Liberty Lawnton,Liberty,Lawnton,-27.290038,152.984626
61401782,Ampol Foodary Caboolture Travel Centre,Ampol,Caboolture,-27.042301,152.975341
61401783,Coles Express Glasshouse Mountains Outbound,Coles Express,Glass House Mountains,-26.920324,152.993515
61401784,Coles Express Glasshouse Mountain Inbound,Coles Express,Glass House Mountains,-26.917099,152.996062
61401786,EG Ampol Caloundra,EG Ampol,Caloundra West,-26.795875,153.110515
61401787,Caltex Caloundra,Caltex,Caloundra,-26.803844,153.12077
61401788,BP Caloundra,BP,Caloundra,-26.794642,153.106714
61401791,7-Eleven Moffat Beach,7 Eleven,Moffat Beach,-26.78968,153.138528
61401792,Rainbow Fuel,Independent,Caloundra,-26.799856,153.131209
61401794,Shell Reddy Express Caloundra,Reddy Express,Caloundra,-26.779839,153.125223
61401795,Caltex Currimundi,Caltex,Currimundi,-26.767186,153.122284
61401796,7-Eleven Wurtulla,7 Eleven,Wurtulla,-26.758801,153.125068
61401797,BP Kawana,BP,Bokarina,-26.731642,153.129595
61401798,Shell Reddy Express Kawana,Reddy Express,Buddina,-26.705,153.130069
61401799,BP Connect Maroochy Plaza,BP,Maroochydore,-26.655772,153.073552
61401801,Ampol Foodary Maroochydore,Ampol,Maroochydore,-26.659345,153.097195
