PULocationID,trips,revenue,avg_fare,med_min,med_dist,rev_per_trip,share_pct,Borough,Zone
145,471,31594.78,53.32658174097664,22.933333333333334,4.8,67.08,0.11,Queens,Long Island City/Hunters Point
232,1051,30802.88,20.1197906755471,14.65,2.49,29.31,0.1,Manhattan,Two Bridges/Seward Park
10,290,27317.71,72.96886206896552,47.108333333333334,14.085,94.2,0.09,Queens,Baisley Park
65,609,19948.76,25.828834154351394,20.35,3.4,32.76,0.07,Brooklyn,Downtown Brooklyn/MetroTech
12,582,19917.96,24.192680412371132,19.85,4.405,34.22,0.07,Manhattan,Battery Park
224,794,19467.95,15.299584382871538,11.675,1.685,24.52,0.07,Manhattan,Stuy Town/Peter Cooper Village
42,735,18454.96,21.21586394557823,14.966666666666667,2.0,25.11,0.06,Manhattan,Central Harlem North
66,516,17701.49,25.823837209302326,20.71666666666667,3.7800000000000002,34.31,0.06,Brooklyn,DUMBO/Vinegar Hill
197,272,16531.239999999998,53.888492647058825,52.925,11.4,60.78,0.06,Queens,Richmond Hill
244,498,15423.42,24.49198795180723,18.133333333333333,3.9,30.97,0.05,Manhattan,Washington Heights South
130,276,15004.95,45.40724637681159,33.766666666666666,9.42,54.37,0.05,Queens,Jamaica
93,184,14565.44,61.388097826086955,24.225,8.155000000000001,79.16,0.05,Queens,Flushing Meadows-Corona Park
216,198,14443.05,62.66277777777778,13.083333333333332,3.9,72.94,0.05,Queens,South Ozone Park
219,145,13685.81,76.35462068965518,49.516666666666666,15.07,94.38,0.05,Queens,Springfield Gardens South
33,422,13067.06,24.512748815165875,20.6,3.46,30.96,0.04,Brooklyn,Brooklyn Heights
25,406,12914.69,25.68807881773399,23.225,3.245,31.81,0.04,Brooklyn,Boerum Hill
265,121,12342.9,85.70661157024793,16.683333333333334,7.1,102.01,0.04,,Outside of NYC
134,152,12327.87,68.90355263157895,14.416666666666666,5.235,81.1,0.04,Queens,Kew Gardens
4,463,11800.53,17.052656587473003,12.516666666666667,1.9,25.49,0.04,Manhattan,Alphabet City
223,181,11730.13,48.66828729281767,25.283333333333335,6.2,64.81,0.04,Queens,Steinway
260,186,11283.74,47.956827956989244,24.608333333333334,4.925000000000001,60.67,0.04,Queens,Woodside
97,413,11186.33,22.241646489104113,19.55,2.8,27.09,0.04,Brooklyn,Fort Greene
152,457,10554.63,17.388796498905908,11.966666666666667,1.8,23.1,0.04,Manhattan,Manhattanville
146,308,9801.33,23.59775974025974,13.366666666666667,2.44,31.82,0.03,Queens,Long Island City/Queens Plaza
129,173,9768.91,43.26907514450867,17.283333333333335,3.2,56.47,0.03,Queens,Jackson Heights
116,365,9332.27,20.281671232876715,13.65,2.0,25.57,0.03,Manhattan,Hamilton Heights
181,319,8805.75,23.71617554858934,30.016666666666666,3.6,27.6,0.03,Brooklyn,Park Slope
215,98,8271.65,67.4045918367347,42.95,13.315000000000001,84.4,0.03,Queens,South Jamaica
61,263,8005.77,28.3293536121673,34.68333333333333,4.0,30.44,0.03,Brooklyn,Crown Heights North
256,196,7797.61,30.342806122448984,18.991666666666667,3.0650000000000004,39.78,0.03,Brooklyn,Williamsburg (South Side)
7,263,7238.36,21.7219391634981,13.716666666666667,2.48,27.52,0.02,Queens,Astoria
76,214,7060.18,30.997009345794392,37.49166666666667,4.9,32.99,0.02,Brooklyn,East New York
49,179,6348.72,32.33525139664805,41.03333333333333,5.3,35.47,0.02,Brooklyn,Clinton Hill
95,132,5618.17,36.00939393939394,25.45,5.385,42.56,0.02,Queens,Forest Hills
255,189,5564.69,22.611322751322753,16.566666666666666,2.57,29.44,0.02,Brooklyn,Williamsburg (North Side)
